2025-09-10 21:28:50 - [INFO] - Logger berhasil dikonfigurasi. Memulai aplikasi...
2025-09-10 21:28:50 - [INFO] - Running in development mode
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IHDR' 16 13
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IDAT' 41 65536
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IHDR' 16 13
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IDAT' 41 5010
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IHDR' 16 13
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IDAT' 41 955
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IHDR' 16 13
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IDAT' 41 65536
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IHDR' 16 13
2025-09-10 21:29:39 - [DEBUG] - STREAM b'IDAT' 41 4764
2025-09-10 21:29:53 - [INFO] - Application terminated normally
